ID,SMILES,ADMET_Solubility_Level,ADMET_Unknown_AlogP98,ADMET_BBB_Level,ADMET_EXT_CYP2D6#Prediction,ADMET_EXT_Hepatotoxic#Prediction,ADMET_Absorption_Level,ADMET_EXT_PPB#Prediction
sp73,C[C@]12CC[C@H](N1)[C@H]1CCc3nc(c(F)c4nc(OC[C@@]56CCCN5C[C@H](F)C6)nc(N1C2)c34)-c1cc(O)cc2ccc(F)c(C#C)c12,0,0,4,TRUE,TRUE,3,TRUE
sp74,F[C@H]1CN2CCC[C@@]2(COc2nc3N4C[C@H]5CC[C@H](N5)[C@H]4CCCc4cc(c(F)c(n2)c34)-c2cccc3ccc(F)c(C#C)c23)C1,0,0,4,TRUE,TRUE,3,TRUE
sp75,C[C@H]1Cc2nc(c(F)c3nc(OC[C@@]45CCCN4C[C@H](F)C5)nc(N4C[C@H]5CC[C@H](N5)[C@H]14)c23)-c1cc(N)cc2ccc(F)c(C#C)c12,0,0,4,TRUE,TRUE,2,TRUE
sp76,Oc1cc(-c2c(F)c3nc(OC[C@@]45CCCN4C[C@H](F)C5)nc4N5C[C@H]6CC[C@H](N6)[C@H]5CCc(c2Cl)c34)c2c(C#C)c(F)ccc2c1,0,0,4,TRUE,TRUE,3,TRUE
sp77,C[C@@H]1Oc2nc(c(F)c3nc(OC[C@]45CCC[C@@H]4N(C)CCC5)nc(N4C[C@H]5CC[C@H](N5)[C@@H]14)c23)-c1cc(N)c(F)c(C)c1C(F)(F)F,0,0,4,TRUE,FALSE,2,TRUE
sp78,C[C@@H]1Oc2nc(c(F)c3nc(OC[C@@H]4CC[C@H]5C[C@@H](F)CN45)nc(N4C[C@H]5CC[C@H](N5)[C@@H]14)c23)-c1cc(N)c(F)c(C)c1C(F)(F)F,0,0,4,TRUE,FALSE,2,TRUE
sp79,C[C@@H]1Oc2nc(c(F)c3nc(OC[C@]4(CN5C[C@H]6C[C@@H]5CO6)CC4(F)F)nc(N4C[C@H]5CC[C@H](N5)[C@@H]14)c23)-c1cc(N)c(F)c(C)c1C(F)(F)F,0,0,4,FALSE,FALSE,2,TRUE
sp80,C[C@@H]1Oc2nc(c(F)c3nc(OCC4(CN5C[C@@H]6C[C@H]5CO6)CC4)nc(N4C[C@H]5CC[C@H](N5)[C@@H]14)c23)-c1cc(N)c(F)c(C)c1C(F)(F)F,0,0,4,TRUE,FALSE,2,TRUE
sp81,C[C@@H]1Oc2nc(c(F)c3nc(OC[C@@]45CCCN4C[C@H](F)C5)nc(N4C[C@H]5CC[C@H](N5)[C@@H]14)c23)-c1cc(N)c(F)c(Cl)c1CC(F)F,0,0,4,TRUE,TRUE,2,TRUE
sp82,C[C@@H]1Oc2nc(c(F)c3nc(OC[C@@]45CCCN4C[C@H](F)C5)nc(N4C[C@H]5CC[C@H](N5)[C@@H]14)c23)-c1cc(N)c(Cl)c(C)c1C(F)(F)F,0,0,4,TRUE,FALSE,2,TRUE
